investor_id,max_gap_days,at_risk
INV000232,205.0,True
INV000233,205.0,True
INV000234,167.0,True
INV000235,140.0,True
INV000236,112.0,True
INV000237,127.0,True
INV000238,242.0,True
INV000239,66.0,True
INV000240,74.0,True
INV000241,93.0,True
INV000242,98.0,True
INV000243,126.0,True
INV000244,109.0,True
INV000245,92.0,True
INV000246,117.0,True
INV000247,,False
INV000248,204.0,True
INV000249,162.0,True
INV000250,,False
INV000251,204.0,True
INV000252,96.0,True
INV000253,458.0,True
INV000254,249.0,True
INV000255,149.0,True
INV000256,79.0,True
INV000257,88.0,True
INV000258,,False
INV000259,119.0,True
INV000260,126.0,True
INV000261,228.0,True
INV000262,95.0,True
INV000263,229.0,True
INV000264,158.0,True
INV000265,140.0,True
INV000266,104.0,True
INV000267,134.0,True
INV000268,106.0,True
INV000269,156.0,True
INV000270,130.0,True
INV000271,203.0,True
INV000272,228.0,True
INV000273,,False
INV000274,175.0,True
INV000275,255.0,True
INV000276,187.0,True
INV000277,,False
INV000278,193.0,True
INV000279,133.0,True
INV000280,112.0,True
INV000281,382.0,True
INV000282,278.0,True
INV000283,132.0,True
INV000284,137.0,True
INV000285,94.0,True
INV000286,215.0,True
INV000287,171.0,True
INV000288,84.0,True
INV000289,93.0,True
INV000290,229.0,True
INV000291,189.0,True
INV000292,85.0,True
INV000293,126.0,True
INV000294,156.0,True
INV000295,89.0,True
INV000296,111.0,True
INV000297,116.0,True
INV000298,118.0,True
INV000299,118.0,True
INV000300,131.0,True
INV000301,92.0,True
INV000302,25.0,False
INV000303,160.0,True
INV000304,204.0,True
INV000305,122.0,True
INV000306,115.0,True
INV000307,162.0,True
INV000308,212.0,True
INV000309,93.0,True
INV000310,77.0,True
INV000311,233.0,True
INV000312,140.0,True
INV000313,310.0,True
INV000314,106.0,True
INV000315,113.0,True
INV000316,184.0,True
INV000317,250.0,True
INV000318,124.0,True
INV000319,189.0,True
INV000320,94.0,True
INV000321,117.0,True
INV000322,206.0,True
INV000323,129.0,True
INV000324,385.0,True
INV000325,138.0,True
INV000326,201.0,True
INV000327,274.0,True
INV000328,67.0,True
INV000329,163.0,True
INV000330,133.0,True
INV000331,163.0,True
INV000332,208.0,True
INV000333,174.0,True
INV000334,78.0,True
INV000335,163.0,True
INV000336,150.0,True
INV000337,192.0,True
INV000338,60.0,True
INV000339,180.0,True
INV000340,60.0,True
INV000341,191.0,True
INV000342,,False
INV000343,148.0,True
INV000344,155.0,True
INV000345,,False
INV000346,111.0,True
INV000347,224.0,True
INV000348,180.0,True
INV000349,103.0,True
INV000350,85.0,True
INV000351,142.0,True
INV000352,215.0,True
INV000353,301.0,True
INV000354,120.0,True
INV000355,,False
INV000356,157.0,True
INV000357,174.0,True
INV000358,88.0,True
INV000359,112.0,True
INV000360,124.0,True
INV000361,108.0,True
INV000362,264.0,True
INV000363,141.0,True
INV000364,100.0,True
INV000365,,False
INV000366,150.0,True
INV000367,116.0,True
INV000368,509.0,True
INV000369,112.0,True
INV000370,257.0,True
INV000371,147.0,True
INV000372,121.0,True
INV000373,243.0,True
INV000374,173.0,True
INV000375,,False
INV000376,155.0,True
INV000377,202.0,True
INV000378,88.0,True
INV000379,248.0,True
INV000380,191.0,True
INV000381,114.0,True
INV000382,70.0,True
INV000383,127.0,True
INV000384,110.0,True
INV000385,147.0,True
INV000386,,False
INV000387,108.0,True
INV000388,97.0,True
INV000389,220.0,True
INV000390,79.0,True
INV000391,,False
INV000392,144.0,True
INV000393,156.0,True
INV000394,174.0,True
INV000395,119.0,True
INV000396,95.0,True
INV000397,205.0,True
INV000398,72.0,True
INV000399,68.0,True
INV000400,82.0,True
INV000401,32.0,False
INV000402,121.0,True
INV000403,120.0,True
INV000404,355.0,True
INV000405,60.0,True
INV000406,16.0,False
INV000407,157.0,True
INV000408,125.0,True
INV000409,155.0,True
INV000410,152.0,True
INV000411,101.0,True
INV000412,69.0,True
INV000413,159.0,True
INV000414,219.0,True
INV000415,128.0,True
INV000416,119.0,True
INV000417,157.0,True
INV000418,126.0,True
INV000419,201.0,True
INV000420,,False
INV000421,202.0,True
INV000422,,False
INV000423,265.0,True
INV000424,100.0,True
INV000425,215.0,True
INV000426,171.0,True
INV000427,82.0,True
INV000428,154.0,True
INV000429,171.0,True
INV000430,264.0,True
INV000431,98.0,True
INV000432,195.0,True
INV000433,166.0,True
INV000434,,False
INV000435,,False
INV000436,170.0,True
INV000437,277.0,True
INV000438,117.0,True
INV000439,68.0,True
INV000440,116.0,True
INV000441,151.0,True
INV000442,193.0,True
INV000443,331.0,True
INV000444,97.0,True
INV000445,104.0,True
INV000446,95.0,True
INV000447,,False
INV000448,332.0,True
INV000449,142.0,True
INV000450,31.0,False
INV000451,33.0,False
INV000452,93.0,True
INV000453,108.0,True
INV000454,291.0,True
INV000455,171.0,True
INV000456,75.0,True
INV000457,151.0,True
INV000458,92.0,True
INV000459,195.0,True
INV000460,227.0,True
INV000461,90.0,True
INV000462,79.0,True
INV000463,76.0,True
INV000464,,False
INV000465,236.0,True
INV000466,135.0,True
INV000467,272.0,True
INV000468,,False
INV000469,104.0,True
INV000470,311.0,True
INV000471,163.0,True
INV000472,314.0,True
INV000473,190.0,True
INV000474,203.0,True
INV000475,346.0,True
INV000476,116.0,True
INV000477,93.0,True
INV000478,36.0,True
INV000479,99.0,True
INV000480,164.0,True
INV000481,117.0,True
INV000482,202.0,True
INV000483,216.0,True
INV000484,,False
INV000485,270.0,True
INV000486,160.0,True
INV000487,121.0,True
INV000488,203.0,True
INV000489,150.0,True
INV000490,163.0,True
INV000491,136.0,True
INV000492,143.0,True
INV000493,178.0,True
INV000494,162.0,True
INV000495,142.0,True
INV000496,167.0,True
INV000497,176.0,True
INV000498,231.0,True
INV000499,126.0,True
INV000500,119.0,True
INV000501,129.0,True
INV000502,,False
INV000503,72.0,True
INV000504,,False
INV000505,120.0,True
INV000506,80.0,True
INV000507,136.0,True
INV000508,124.0,True
INV000509,107.0,True
INV000510,190.0,True
INV000511,206.0,True
INV000512,112.0,True
INV000513,103.0,True
INV000514,135.0,True
INV000515,341.0,True
INV000516,340.0,True
INV000517,308.0,True
INV000518,217.0,True
INV000519,149.0,True
INV000520,156.0,True
INV000521,73.0,True
INV000522,87.0,True
INV000523,206.0,True
INV000524,91.0,True
INV000525,126.0,True
INV000526,107.0,True
INV000527,148.0,True
INV000528,,False
INV000529,117.0,True
INV000530,206.0,True
INV000531,82.0,True
INV000532,89.0,True
INV000533,225.0,True
INV000534,243.0,True
INV000535,263.0,True
INV000536,142.0,True
INV000537,105.0,True
INV000538,60.0,True
INV000539,153.0,True
INV000540,123.0,True
INV000541,56.0,True
INV000542,192.0,True
INV000543,170.0,True
INV000544,152.0,True
INV000545,107.0,True
INV000546,140.0,True
INV000547,157.0,True
INV000548,186.0,True
INV000549,146.0,True
INV000550,226.0,True
INV000551,192.0,True
INV000552,95.0,True
INV000553,172.0,True
INV000554,102.0,True
INV000555,375.0,True
INV000556,147.0,True
INV000557,294.0,True
INV000558,171.0,True
INV000559,314.0,True
INV000560,217.0,True
INV000561,,False
INV000562,197.0,True
INV000563,95.0,True
INV000564,162.0,True
INV000565,181.0,True
INV000566,122.0,True
INV000567,121.0,True
INV000568,99.0,True
INV000569,88.0,True
INV000570,93.0,True
INV000571,,False
INV000572,163.0,True
INV000573,93.0,True
INV000574,195.0,True
INV000575,155.0,True
INV000576,190.0,True
INV000577,169.0,True
INV000578,113.0,True
INV000579,,False
INV000580,92.0,True
INV000581,128.0,True
INV000582,,False
INV000583,133.0,True
INV000584,153.0,True
INV000585,130.0,True
INV000586,223.0,True
INV000587,112.0,True
INV000588,444.0,True
INV000589,90.0,True
INV000590,182.0,True
INV000591,112.0,True
INV000592,268.0,True
INV000593,86.0,True
INV000594,,False
INV000595,106.0,True
INV000596,101.0,True
INV000597,142.0,True
INV000598,170.0,True
INV000599,158.0,True
INV000600,156.0,True
INV000601,97.0,True
INV000602,128.0,True
INV000603,236.0,True
INV000604,75.0,True
INV000605,223.0,True
INV000606,148.0,True
INV000607,145.0,True
INV000608,241.0,True
INV000609,77.0,True
INV000610,,False
INV000611,121.0,True
INV000612,169.0,True
INV000613,227.0,True
INV000614,65.0,True
INV000615,139.0,True
INV000616,185.0,True
INV000617,77.0,True
INV000618,7.0,False
INV000619,73.0,True
INV000620,,False
INV000621,105.0,True
INV000622,293.0,True
INV000623,143.0,True
INV000624,145.0,True
INV000625,91.0,True
INV000626,134.0,True
INV000627,268.0,True
INV000628,304.0,True
INV000629,276.0,True
INV000630,142.0,True
INV000631,82.0,True
INV000632,281.0,True
INV000633,120.0,True
INV000634,90.0,True
INV000635,221.0,True
INV000636,160.0,True
INV000637,154.0,True
INV000638,138.0,True
INV000639,129.0,True
INV000640,,False
INV000641,126.0,True
INV000642,139.0,True
INV000643,127.0,True
INV000644,313.0,True
INV000645,88.0,True
INV000646,96.0,True
INV000647,265.0,True
INV000648,88.0,True
INV000649,230.0,True
INV000650,171.0,True
INV000651,280.0,True
INV000652,154.0,True
INV000653,164.0,True
INV000654,166.0,True
INV000655,132.0,True
INV000656,116.0,True
INV000657,95.0,True
INV000658,153.0,True
INV000659,228.0,True
INV000660,99.0,True
INV000661,106.0,True
INV000662,113.0,True
INV000663,247.0,True
INV000664,149.0,True
INV000665,79.0,True
INV000666,170.0,True
INV000667,135.0,True
INV000668,339.0,True
INV000669,191.0,True
INV000670,143.0,True
INV000671,118.0,True
INV000672,41.0,True
INV000673,235.0,True
INV000674,31.0,False
INV000675,111.0,True
INV000676,61.0,True
INV000677,226.0,True
INV000678,77.0,True
INV000679,193.0,True
INV000680,165.0,True
INV000681,246.0,True
INV000682,232.0,True
INV000683,137.0,True
INV000684,191.0,True
INV000685,11.0,False
INV000686,203.0,True
INV000687,187.0,True
INV000688,81.0,True
INV000689,110.0,True
INV000690,116.0,True
INV000691,131.0,True
INV000692,,False
INV000693,116.0,True
INV000694,184.0,True
INV000695,110.0,True
INV000696,193.0,True
INV000697,,False
INV000698,101.0,True
INV000699,90.0,True
INV000700,93.0,True
INV000701,230.0,True
INV000702,188.0,True
INV000703,177.0,True
INV000704,183.0,True
INV000705,165.0,True
INV000706,116.0,True
INV000707,130.0,True
INV000708,182.0,True
INV000709,100.0,True
INV000710,143.0,True
INV000711,160.0,True
INV000712,,False
INV000713,177.0,True
INV000714,95.0,True
INV000715,107.0,True
INV000716,192.0,True
INV000717,232.0,True
INV000718,79.0,True
INV000719,129.0,True
INV000720,134.0,True
INV000721,210.0,True
INV000722,164.0,True
INV000723,323.0,True
INV000724,209.0,True
INV000725,92.0,True
INV000726,165.0,True
INV000727,25.0,False
INV000728,113.0,True
INV000729,135.0,True
INV000730,145.0,True
INV000731,152.0,True
INV000732,130.0,True
INV000733,189.0,True
INV000734,180.0,True
INV000735,264.0,True
INV000736,132.0,True
INV000737,124.0,True
INV000738,163.0,True
INV000739,219.0,True
INV000740,223.0,True
INV000741,101.0,True
INV000742,176.0,True
INV000743,196.0,True
INV000744,96.0,True
INV000745,217.0,True
INV000746,124.0,True
INV000747,125.0,True
INV000748,114.0,True
INV000749,127.0,True
INV000750,177.0,True
INV000751,97.0,True
INV000752,269.0,True
INV000753,112.0,True
INV000754,103.0,True
INV000755,115.0,True
INV000756,157.0,True
INV000757,167.0,True
INV000758,180.0,True
INV000759,141.0,True
INV000760,148.0,True
INV000761,173.0,True
INV000762,367.0,True
INV000763,,False
INV000764,154.0,True
INV000765,166.0,True
INV000766,197.0,True
INV000767,227.0,True
INV000768,68.0,True
INV000769,206.0,True
INV000770,39.0,True
INV000771,176.0,True
INV000772,98.0,True
INV000773,,False
INV000774,148.0,True
INV000775,177.0,True
INV000776,71.0,True
INV000777,91.0,True
INV000778,168.0,True
INV000779,92.0,True
INV000780,,False
INV000781,191.0,True
INV000782,105.0,True
INV000783,145.0,True
INV000784,244.0,True
INV000785,154.0,True
INV000786,199.0,True
INV000787,,False
INV000788,159.0,True
INV000789,171.0,True
INV000790,,False
INV000791,109.0,True
INV000792,271.0,True
INV000793,104.0,True
INV000794,,False
INV000795,155.0,True
INV000796,194.0,True
INV000797,378.0,True
INV000798,,False
INV000799,213.0,True
INV000800,333.0,True
INV000801,131.0,True
INV000802,89.0,True
INV000803,147.0,True
INV000804,208.0,True
INV000805,,False
INV000806,109.0,True
INV000807,3.0,False
INV000808,292.0,True
INV000809,262.0,True
INV000810,93.0,True
INV000811,217.0,True
INV000812,,False
INV000813,300.0,True
INV000814,113.0,True
INV000815,161.0,True
INV000816,216.0,True
INV000817,,False
INV000818,261.0,True
INV000819,116.0,True
INV000820,168.0,True
INV000821,81.0,True
INV000822,98.0,True
INV000823,69.0,True
INV000824,279.0,True
INV000825,122.0,True
INV000826,218.0,True
INV000827,95.0,True
INV000828,429.0,True
INV000829,151.0,True
INV000830,122.0,True
INV000831,134.0,True
INV000832,93.0,True
INV000833,178.0,True
INV000834,241.0,True
INV000835,,False
INV000836,123.0,True
INV000837,358.0,True
INV000838,119.0,True
INV000839,192.0,True
INV000840,186.0,True
INV000841,213.0,True
INV000842,,False
INV000843,101.0,True
INV000844,131.0,True
INV000845,201.0,True
INV000846,135.0,True
INV000847,56.0,True
INV000848,132.0,True
INV000849,128.0,True
INV000850,60.0,True
INV000851,112.0,True
INV000852,246.0,True
INV000853,143.0,True
INV000854,170.0,True
INV000855,309.0,True
INV000856,128.0,True
INV000857,159.0,True
INV000858,131.0,True
INV000859,190.0,True
INV000860,110.0,True
INV000861,163.0,True
INV000862,158.0,True
INV000863,,False
INV000864,135.0,True
INV000865,99.0,True
INV000866,141.0,True
INV000867,120.0,True
INV000868,,False
INV000869,95.0,True
INV000870,94.0,True
INV000871,,False
INV000872,,False
INV000873,166.0,True
INV000874,136.0,True
INV000875,79.0,True
INV000876,66.0,True
INV000877,75.0,True
INV000878,66.0,True
INV000879,108.0,True
INV000880,166.0,True
INV000881,103.0,True
INV000882,,False
INV000883,257.0,True
INV000884,205.0,True
INV000885,261.0,True
INV000886,100.0,True
INV000887,238.0,True
INV000888,166.0,True
INV000889,263.0,True
INV000890,108.0,True
INV000891,116.0,True
INV000892,171.0,True
INV000893,147.0,True
INV000894,181.0,True
INV000895,142.0,True
INV000896,173.0,True
INV000897,151.0,True
INV000898,323.0,True
INV000899,260.0,True
INV000900,131.0,True
INV000901,95.0,True
INV000902,96.0,True
INV000903,,False
INV000904,186.0,True
INV000905,,False
INV000906,109.0,True
INV000907,115.0,True
INV000908,145.0,True
INV000909,151.0,True
INV000910,151.0,True
INV000911,,False
INV000912,144.0,True
INV000913,211.0,True
INV000914,116.0,True
INV000915,120.0,True
INV000916,,False
INV000917,,False
INV000918,247.0,True
INV000919,204.0,True
INV000920,140.0,True
INV000921,261.0,True
INV000922,126.0,True
INV000923,,False
INV000924,,False
INV000925,202.0,True
INV000926,111.0,True
INV000927,53.0,True
INV000928,9.0,False
INV000929,104.0,True
INV000930,75.0,True
INV000931,124.0,True
INV000932,239.0,True
INV000933,193.0,True
INV000934,61.0,True
INV000935,73.0,True
INV000936,,False
INV000937,197.0,True
INV000938,153.0,True
INV000939,93.0,True
INV000940,139.0,True
INV000941,189.0,True
INV000942,118.0,True
INV000943,210.0,True
INV000944,265.0,True
INV000945,,False
INV000946,117.0,True
INV000947,221.0,True
INV000948,87.0,True
INV000949,120.0,True
INV000950,189.0,True
INV000951,,False
INV000952,,False
INV000953,185.0,True
INV000954,116.0,True
INV000955,267.0,True
INV000956,,False
INV000957,122.0,True
INV000958,208.0,True
INV000959,163.0,True
INV000960,150.0,True
INV000961,240.0,True
INV000962,133.0,True
INV000963,231.0,True
INV000964,217.0,True
INV000965,,False
INV000966,106.0,True
INV000967,47.0,True
INV000968,286.0,True
INV000969,179.0,True
INV000970,104.0,True
INV000971,115.0,True
INV000972,107.0,True
INV000973,55.0,True
INV000974,131.0,True
INV000975,44.0,True
INV000976,100.0,True
INV000977,137.0,True
INV000978,95.0,True
INV000979,115.0,True
INV000980,121.0,True
INV000981,52.0,True
INV000982,70.0,True
INV000983,198.0,True
INV000984,88.0,True
INV000985,147.0,True
INV000986,182.0,True
INV000987,117.0,True
INV000988,140.0,True
INV000989,269.0,True
INV000990,263.0,True
INV000991,169.0,True
INV000992,240.0,True
INV000993,,False
INV000994,161.0,True
INV000995,60.0,True
INV000996,30.0,False
INV000997,131.0,True
INV000998,113.0,True
INV000999,145.0,True
INV001000,16.0,False
INV001001,137.0,True
INV001002,103.0,True
INV001003,106.0,True
INV001004,99.0,True
INV001005,117.0,True
INV001006,233.0,True
INV001007,52.0,True
INV001008,191.0,True
INV001009,125.0,True
INV001010,,False
INV001011,234.0,True
INV001012,102.0,True
INV001013,112.0,True
INV001014,182.0,True
INV001015,77.0,True
INV001016,199.0,True
INV001017,142.0,True
INV001018,51.0,True
INV001019,160.0,True
INV001020,156.0,True
INV001021,186.0,True
INV001022,217.0,True
INV001023,155.0,True
INV001024,162.0,True
INV001025,76.0,True
INV001026,132.0,True
INV001027,149.0,True
INV001028,182.0,True
INV001029,158.0,True
INV001030,237.0,True
INV001031,167.0,True
INV001032,,False
INV001033,282.0,True
INV001034,119.0,True
INV001035,,False
INV001036,123.0,True
INV001037,86.0,True
INV001038,250.0,True
INV001039,187.0,True
INV001040,163.0,True
INV001041,159.0,True
INV001042,105.0,True
INV001043,235.0,True
INV001044,155.0,True
INV001045,191.0,True
INV001046,257.0,True
INV001047,142.0,True
INV001048,75.0,True
INV001049,177.0,True
INV001050,156.0,True
INV001051,127.0,True
INV001052,218.0,True
INV001053,116.0,True
INV001054,183.0,True
INV001055,166.0,True
INV001056,299.0,True
INV001057,120.0,True
INV001058,114.0,True
INV001059,197.0,True
INV001060,89.0,True
INV001061,104.0,True
INV001062,146.0,True
INV001063,68.0,True
INV001064,133.0,True
INV001065,173.0,True
INV001066,321.0,True
INV001067,112.0,True
INV001068,261.0,True
INV001069,98.0,True
INV001070,304.0,True
INV001071,325.0,True
INV001072,128.0,True
INV001073,14.0,False
INV001074,119.0,True
INV001075,105.0,True
INV001076,209.0,True
INV001077,149.0,True
INV001078,,False
INV001079,144.0,True
INV001080,126.0,True
INV001081,278.0,True
INV001082,209.0,True
INV001083,115.0,True
INV001084,,False
INV001085,155.0,True
INV001086,112.0,True
INV001087,175.0,True
INV001088,229.0,True
INV001089,11.0,False
INV001090,,False
INV001091,138.0,True
INV001092,165.0,True
INV001093,134.0,True
INV001094,145.0,True
INV001095,244.0,True
INV001096,189.0,True
INV001097,58.0,True
INV001098,,False
INV001099,107.0,True
INV001100,,False
INV001101,189.0,True
INV001102,124.0,True
INV001103,104.0,True
INV001104,306.0,True
INV001105,407.0,True
INV001106,300.0,True
INV001107,179.0,True
INV001108,199.0,True
INV001109,203.0,True
INV001110,153.0,True
INV001111,157.0,True
INV001112,66.0,True
INV001113,151.0,True
INV001114,406.0,True
INV001115,230.0,True
INV001116,194.0,True
INV001117,137.0,True
INV001118,137.0,True
INV001119,197.0,True
INV001120,72.0,True
INV001121,173.0,True
INV001122,309.0,True
INV001123,116.0,True
INV001124,138.0,True
INV001125,,False
INV001126,135.0,True
INV001127,259.0,True
INV001128,103.0,True
INV001129,,False
INV001130,131.0,True
INV001131,141.0,True
INV001132,,False
INV001133,78.0,True
INV001134,404.0,True
INV001135,,False
INV001136,58.0,True
INV001137,79.0,True
INV001138,82.0,True
INV001139,325.0,True
INV001140,125.0,True
INV001141,132.0,True
INV001142,106.0,True
INV001143,146.0,True
INV001144,173.0,True
INV001145,39.0,True
INV001146,,False
INV001147,82.0,True
INV001148,151.0,True
INV001149,276.0,True
INV001150,228.0,True
INV001151,302.0,True
INV001152,122.0,True
INV001153,,False
INV001154,204.0,True
INV001155,196.0,True
INV001156,160.0,True
INV001157,97.0,True
INV001158,158.0,True
INV001159,351.0,True
INV001160,99.0,True
INV001161,133.0,True
INV001162,301.0,True
INV001163,146.0,True
INV001164,150.0,True
INV001165,103.0,True
INV001166,148.0,True
INV001167,207.0,True
INV001168,161.0,True
INV001169,272.0,True
INV001170,119.0,True
INV001171,123.0,True
INV001172,310.0,True
INV001173,146.0,True
INV001174,115.0,True
INV001175,116.0,True
INV001176,72.0,True
INV001177,,False
INV001178,83.0,True
INV001179,207.0,True
INV001180,112.0,True
INV001181,118.0,True
INV001182,153.0,True
INV001183,145.0,True
INV001184,,False
INV001185,101.0,True
INV001186,118.0,True
INV001187,,False
INV001188,49.0,True
INV001189,71.0,True
INV001190,198.0,True
INV001191,127.0,True
INV001192,143.0,True
INV001193,100.0,True
INV001194,159.0,True
INV001195,154.0,True
INV001196,169.0,True
INV001197,140.0,True
INV001198,123.0,True
INV001199,278.0,True
INV001200,354.0,True
INV001201,,False
INV001202,103.0,True
INV001203,225.0,True
INV001204,165.0,True
INV001205,98.0,True
INV001206,116.0,True
INV001207,166.0,True
INV001208,94.0,True
INV001209,79.0,True
INV001210,93.0,True
INV001211,346.0,True
INV001212,119.0,True
INV001213,120.0,True
INV001214,196.0,True
INV001215,293.0,True
INV001216,242.0,True
INV001217,148.0,True
INV001218,139.0,True
INV001219,118.0,True
INV001220,104.0,True
INV001221,172.0,True
INV001222,189.0,True
INV001223,94.0,True
INV001224,103.0,True
INV001225,125.0,True
INV001226,313.0,True
INV001227,104.0,True
INV001228,140.0,True
INV001229,189.0,True
INV001230,104.0,True
INV001231,,False
INV001232,184.0,True
INV001233,135.0,True
INV001234,119.0,True
INV001235,100.0,True
INV001236,153.0,True
INV001237,182.0,True
INV001238,150.0,True
INV001239,,False
INV001240,176.0,True
INV001241,76.0,True
INV001242,93.0,True
INV001243,,False
INV001244,77.0,True
INV001245,224.0,True
INV001246,184.0,True
INV001247,139.0,True
INV001248,,False
INV001249,105.0,True
INV001250,181.0,True
INV001251,223.0,True
INV001252,,False
INV001253,,False
INV001254,186.0,True
INV001255,161.0,True
INV001256,308.0,True
INV001257,166.0,True
INV001258,58.0,True
INV001259,213.0,True
INV001260,163.0,True
INV001261,89.0,True
INV001262,116.0,True
INV001263,153.0,True
INV001264,87.0,True
INV001265,217.0,True
INV001266,393.0,True
INV001267,293.0,True
INV001268,,False
INV001269,107.0,True
INV001270,18.0,False
INV001271,140.0,True
INV001272,148.0,True
INV001273,308.0,True
INV001274,141.0,True
INV001275,99.0,True
INV001276,226.0,True
INV001277,420.0,True
INV001278,,False
INV001279,417.0,True
INV001280,169.0,True
INV001281,291.0,True
INV001282,119.0,True
INV001283,,False
INV001284,124.0,True
INV001285,2.0,False
INV001286,26.0,False
INV001287,116.0,True
INV001288,148.0,True
INV001289,221.0,True
INV001290,294.0,True
INV001291,181.0,True
INV001292,116.0,True
INV001293,,False
INV001294,,False
INV001295,165.0,True
INV001296,349.0,True
INV001297,247.0,True
INV001298,113.0,True
INV001299,101.0,True
